Product Name,Brand,Missing Nutrition,Missing Ingredients,Reason
Rajma,Five Minutes To Delhi,Yes,Yes,Not found in any source
Kashmiri Rajma,Orchid,No,Yes,Not found in any source
Chitra Rajma,Indian Delibites,No,Yes,Not found in any source
Rajma Chawal,Haldiram's,No,Yes,Not found in any source
Amritsari Rajma,Mother’s Recipe,Yes,Yes,Not found in any source
Rajma Masala,Laxmi,No,Yes,Not found in any source
Rajma,Heera,No,Yes,Not found in any source
KABULI CHANA CHICKPEA,24 Mantra Organic,Yes,Yes,Not found in any source
Kabuli Chana,Real,No,Yes,Not found in any source
Kabuli Chana,Laxmi,Yes,Yes,Not found in any source
Kabuli Chana,Deep,No,Yes,Not found in any source
Kabuli Chana,Aara,Yes,Yes,Not found in any source
Kabuli Chana Chickpeas,Deep,No,Yes,Not found in any source
Kabuli chana,Deer,No,Yes,Not found in any source
Kabuli Chana Chickpeas,Laxmi,No,Yes,Not found in any source
Kitchen King Masala,Everest,No,Yes,Not found in any source
Everest Sabji masala,Everest,Yes,Yes,Not found in any source
Everest Sambhar masala,Everest,No,Yes,Not found in any source
chiken biryani masala Everest,Everest,Yes,Yes,Not found in any source
Kesari Milk Masala,Everest,Yes,Yes,Not found in any source
Everest fish curry masala,Everest,No,Yes,Not found in any source
EVEREST Masala tae,Everest,No,Yes,Not found in any source
Shahi Paneer Masala,Everest,No,Yes,Not found in any source
EVEREST Chhole Masala,Everest,Yes,Yes,Not found in any source
Tikka Masala Curry,Everest,No,Yes,Not found in any source
Sambar Masala,Everest,No,Yes,Not found in any source
Everest Tandoori Chicken Masala,Everest,No,Yes,Not found in any source
Chat Masala,Everest,No,Yes,Not found in any source
Chunky Chat masala,MDH,Yes,Yes,Not found in any source
Dal Makhani masala,MDH,No,Yes,Not found in any source
pulao masala,MDH,Yes,Yes,Not found in any source
MDH Dal Makhani Masala,MDH,No,Yes,Not found in any source
T Plus Masala,MDH,Yes,Yes,Not found in any source
MDH JAL JEERA MASALA,MDH,Yes,Yes,Not found in any source
Karahi Paneer Masala,MDH,No,Yes,Not found in any source
Stuffed Parantha Masala Spice Blend,MDH,No,Yes,Not found in any source
Curry Masala for Karahi Gosht,MDH,No,Yes,Not found in any source
Sindhi Biryani masala,MDH,Yes,Yes,Not found in any source
Chhole Masala,Catch,Yes,Yes,Not found in any source
Sprinkler Black Pepper,Catch,Yes,Yes,Not found in any source
CHICKEN MASALA,Catch,Yes,Yes,Not found in any source
SAMBHAR MASALA,Catch,No,Yes,Not found in any source
Catch Chatpata Chat Masala,Catch,No,Yes,Not found in any source
KITCHEN KING,Catch,No,Yes,Not found in any source
Catch sabzi masala,Catch,No,Yes,Not found in any source
JALJEERA,Catch,No,Yes,Not found in any source
MEAT MASALA,Catch,Yes,Yes,Not found in any source
Garam masala,Catch,No,Yes,Not found in any source
catch Rajma masala,Catch,Yes,Yes,Not found in any source
Amchur power,Catch,No,Yes,Not found in any source
Kashmiri mirch power,Catch,No,Yes,Not found in any source
catch chana masala,Catch,No,Yes,Not found in any source
catch biryani masala,Catch,Yes,Yes,Not found in any source
pav bhaji masala,Catch,No,Yes,Not found in any source
Madras Sambar Masala,Badshah,Yes,Yes,Not found in any source
Mélange De Thandai Masala,Badshah,No,Yes,Not found in any source
Chat Masala,Badshah,Yes,Yes,Not found in any source
Tandoori Chicken Masala,Sakthi,No,Yes,Not found in any source
Chilli Powder,Sakthi,Yes,Yes,Not found in any source
Biriyani Masala,Sakthi,No,Yes,Not found in any source
Super garam masala,Eastern,No,Yes,Not found in any source
Butter Masala Sauce,Eastern,Yes,Yes,Not found in any source
Garam Masala,Eastern,No,Yes,Not found in any source
Spicy Chicken Masala,Eastern,Yes,Yes,Not found in any source
Mutton Masala,Eastern,No,Yes,Not found in any source
Beef Ularthu Masala,Eastern,Yes,Yes,Not found in any source
Chicken 64 Masala,Eastern,No,Yes,Not found in any source
Egg Masala Powder,Eastern,No,Yes,Not found in any source
Chicken Masala Spice Mix,Eastern,No,Yes,Not found in any source
Chicken Fry Masala,Eastern,Yes,Yes,Not found in any source
fortune sun lite sunflower oil 15 litre,Fortune,No,Yes,Not found in any source
Pro Immunity Multi-source Edible Oil,Fortune,Yes,Yes,Not found in any source
100% Sanfflower Oil,Saffola,Yes,Yes,Not found in any source
SAFOLA ACTIVE - MULTI-SOURCE EDIBLE OIL,Saffola,Yes,Yes,Not found in any source
Saffola Gold,Saffola,Yes,Yes,Not found in any source
Saffola gold Blended oil 5 l,Saffola,No,Yes,Not found in any source
Dhara groundnut oil,Dhara,No,Yes,Not found in any source
Dhara ground nut oil,Dhara,No,Yes,Not found in any source
mustard oil,Dhara,Yes,Yes,Not found in any source
Kachi Ghani Mustard Oil,Dhara,No,Yes,Not found in any source
Kachi Ghani Mustard Oil,Dhãra,No,Yes,Not found in any source
Dhara Refined Sunflower oil 5l,Dhara,No,Yes,Not found in any source
Blended Edible Vegetable multi source oil,Sundrop,No,Yes,Not found in any source
Sundrop Heart blnd edbl oil 1ltr,Sundrop,No,Yes,Not found in any source
sundrop oil,Sundrop,No,Yes,Not found in any source
Water buffalo butter,Amul,No,Yes,Not found in any source
Butter Unsalted,Amul,No,Yes,Not found in any source
amul butter,Amul,No,Yes,Not found in any source
Water Buffalo And Cow Milk Butter,Amul,Yes,Yes,Not found in any source
Amul masti spiced butter milk,Amul,No,Yes,Not found in any source
Pure ghee clarified butter,Amul,Yes,Yes,Not found in any source
Amul cheese block,Amul,No,Yes,Not found in any source
Cheese Cube,Amul,No,Yes,Not found in any source
Amul cheese spread,Amul,No,Yes,Not found in any source
Cheese block,Amul,No,Yes,Not found in any source
Ginger Paste,Mother's Dairy,No,Yes,Not found in any source
Badam Flavoured Milk,Nandini,Yes,Yes,Not found in any source
Shubham,Nandini,No,Yes,Not found in any source
Nandini Good Life,Nandini,No,Yes,Not found in any source
Nandini Paneer,Nandini,No,Yes,Not found in any source
goodlife slim,Nandini,Yes,Yes,Not found in any source
Toned Milk,Nandini,No,Yes,Not found in any source
Slim UHT Sterilised Skimmed Milk,Nandini,Yes,Yes,Not found in any source
Santhrupthi Milk,Nandini,Yes,Yes,Not found in any source
Fresh Paneer,Verka,Yes,Yes,Not found in any source
Cornflakes Mixture,Haldiram's,Yes,Yes,Not found in any source
Gujarati Mixture Namkeen,Haldiram's,No,Yes,Not found in any source
taka-tak,Haldiram's,Yes,Yes,Not found in any source
Khatta Meetha 440g,Haldiram's,No,Yes,Not found in any source
Knocking korean,Bingo,No,Yes,Not found in any source
Uncle Saba’s Lentil and chickpea chips,Uncle Saba’s lentil and chickpea chips,Yes,Yes,Not found in any source
Xtreme Butter,ACT II,Yes,Yes,Not found in any source
ACT II popcorn butter delight,ACT II,No,Yes,Not found in any source
Popcorn butter,ACT II,Yes,Yes,Not found in any source
Act II sabor Mantequilla,ACT II,Yes,Yes,Not found in any source
Butter Microwave Popcorn,ACT II,Yes,Yes,Not found in any source
Xtreme Butter Microwave Popcorn,ACT II,Yes,Yes,Not found in any source
ACT II Butter Lovers Flavour,ACT II,Yes,Yes,Not found in any source
Popcorn,ACT II,Yes,Yes,Not found in any source
ACT II Microwave Popcorn Butter Lover's Flavour,ACT II,No,Yes,Not found in any source
Sweet & Salty Kettle Corn,ACT II,No,Yes,Not found in any source
Light Butter Flavour Microwave Popcorn,ACT II,Yes,Yes,Not found in any source
Act 2 popcorn butter flavour,ACT II,No,Yes,Not found in any source
ACT II Popcorn,ACT II,No,Yes,Not found in any source
Microwave Popcorn Buttery Flavour,ACT II,No,Yes,Not found in any source
ACT II Salted Microwave Popcorn,ACT II,No,Yes,Not found in any source
ACT II Simply Salted popcorn,ACT II,Yes,Yes,Not found in any source
Munchies Orange,Nestlé,Yes,Yes,Not found in any source
Munchies Easter Egg,Nestlé,No,Yes,Not found in any source
Flamin' Hot Snack Mix,Munchies,Yes,Yes,Not found in any source
Arachides enrobés croquantes,Munchies,No,Yes,Not found in any source
Honey roasted peanuts,Frito Lay Munchies,No,Yes,Not found in any source
Munchies Cookie Dough,Nestlé,Yes,Yes,Not found in any source
Bikaneri bhujia,Bikaji,Yes,Yes,Not found in any source
Bikaji aloo bhujia 1kg,Bikaji,No,Yes,Not found in any source
Aloo Bhujia Tana-Tan,Bikaji,Yes,Yes,Not found in any source
bikaji bikaneri bhujia 400g,Bikaji,No,Yes,Not found in any source
Potato Chips Mint Pudina,Balaji,Yes,Yes,Not found in any source
Potato chips,Balaji,No,Yes,Not found in any source
Balaji Wafers Rumbles Potato Chips Pudina Twist flavour,Balaji,Yes,Yes,Not found in any source
Crunchem Pizzy Masala,Balaji,Yes,Yes,Not found in any source
Crunchem,Balaji,Yes,Yes,Not found in any source
Good day,Britannia,Yes,Yes,Not found in any source
GOOD DAY CHOCO COOKIES,Britannia,No,Yes,Not found in any source
"Britannia, Good Day, Butter Cookies",Britannia,Yes,Yes,Not found in any source
Good Day Psta-Almond Cookies,Britannia,No,Yes,Not found in any source
Good Day Rich Pistachio and Almond Cookies,Britannia,No,Yes,Not found in any source
Good Day Chocochip Cookies,Britannia,No,Yes,Not found in any source
Good day - Cashew Cookies,Britannia,Yes,Yes,Not found in any source
Britannia Good day pistachio almond cookies,Britannia,No,Yes,Not found in any source
Good Day - Pistachio & Almond Cookies,Britannia,No,Yes,Not found in any source
Oreo Cream Biscuit,Cadbury,Yes,Yes,Not found in any source
Cricket Edition Oreo Original,Cadbury,Yes,Yes,Not found in any source
Bolachas crocantes-maçã,McVitie's,Yes,Yes,Not found in any source
Ginger Nuts Biscuits,McVitie's,Yes,Yes,Not found in any source
Digestive Delicious Wheat Biscuits,McVitie's,Yes,Yes,Not found in any source
Penguin,McVitie's,Yes,Yes,Not found in any source
Digestive,McVitie's,No,Yes,Not found in any source
sables anglais,McVitie's,No,Yes,Not found in any source
Sablés angais l’original,McVitie's,No,Yes,Not found in any source
Digestives the light one cookies,McVitie's,Yes,Yes,Not found in any source
Hobnobs Oats Biscuit,McVitie's,Yes,Yes,Not found in any source
Sable anglais,McVitie's,Yes,Yes,Not found in any source
Toasting Waffles,McVitie's,Yes,Yes,Not found in any source
Golden Oat,McVitie's,No,Yes,Not found in any source
Digestive light,McVitie's,Yes,Yes,Not found in any source
Soft Bakes Strawberry Filled,belVita,Yes,Yes,Not found in any source
Tiger glucose biscuits,Britannia,No,Yes,Not found in any source
GLUCOSE HIGH ENERGY BISCUITS,Britannia,Yes,Yes,Not found in any source
Monaco - Biscuits crackers à l'emmental,Belin,Yes,Yes,Not found in any source
Glace Vanille Bourbon,Nestlé,Yes,Yes,Not found in any source
Yaourt à la grecque au lait de brebis sucré à la vanille bourbon,La bergerie,Yes,Yes,Not found in any source
Iles flottantes 4x100g,Pâturages,Yes,Yes,Not found in any source
Marie gold,Britannia,Yes,Yes,Not found in any source
Tea Time Biscuits,Britannia,No,Yes,Not found in any source
Maliban,Gold marie,No,Yes,Not found in any source
Vita Marie Gold Tea time biscuit,Britannia,Yes,Yes,Not found in any source
Ida Marie Brut,Weingut Gold,No,Yes,Not found in any source
Vitamin Marie Gold,Britannia,Yes,Yes,Not found in any source
gold marie 165g,maliban,Yes,Yes,Not found in any source
Saucy Noodles Teriyaki,Maggi,Yes,Yes,Not found in any source
Teriyaki Noodles,Maggi,No,Yes,Not found in any source
Saucy Noodles,Maggi,Yes,Yes,Not found in any source
Fusian oriental noodles teriyaki,Maggi,Yes,Yes,Not found in any source
Noodles chicken,Maggi,No,Yes,Not found in any source
Pasta oriental sabor pollo,Maggi,Yes,Yes,Not found in any source
Saucy Noodles Teriyaki Style,Maggi,Yes,Yes,Not found in any source
Magic Asia Instant Noodle Cup Chili 63 gr,Maggi,Yes,Yes,Not found in any source
Spaghetti Bolognese,Maggi,Yes,Yes,Not found in any source
Beef noodles,Maggi,Yes,Yes,Not found in any source
Noodles,Maggi,Yes,Yes,Not found in any source
Noodle Cup Duck Taste with Black Pepper & Paprika,Maggi,Yes,Yes,Not found in any source
Vegetable Noodles,Maggi,Yes,Yes,Not found in any source
Saucy Noodles Pad Thai,Maggi,No,Yes,Not found in any source
Chicken flavoured noodle soup,Maggi,Yes,Yes,Not found in any source
Stir Fried Noodles Teriyaki,Maggi,Yes,Yes,Not found in any source
Maggi,Maggi,Yes,Yes,Not found in any source
STIR-FRIED NOODLES TASTE OF DUCK,Maggi,No,Yes,Not found in any source
Saucy Noodles - Sweet Chilli,Maggi,No,Yes,Not found in any source
Durban Curry Flavoured 2 Minute Noodles,Maggi,Yes,Yes,Not found in any source
maggi chicken noodles,Maggi,No,Yes,Not found in any source
Hochzeitssuppe,Maggi,Yes,Yes,Not found in any source
Magic Asia Nudel Snack Ente,Maggi,Yes,Yes,Not found in any source
Nouilles asiatiques Maggi Mi Goreng soy and mild spice,Maggi,No,Yes,Not found in any source
Makkaroni Lasagne,Maggi,No,Yes,Not found in any source
Top Ramen Chicken Flavor,Nissin,Yes,Yes,Not found in any source
Top Ramen Masala Noodles,Nissin,Yes,Yes,Not found in any source
Top Ramen - Soy Sauce Flavor,Nissin,Yes,Yes,Not found in any source
Top ramen hot and spicy beef flavor same picante,Nissin,Yes,Yes,Not found in any source
Top ramen the original soy sauce ramen noodle soup,Nissin,Yes,Yes,Not found in any source
Top Ramen shrimp noodle soup,Nissin,No,Yes,Not found in any source
Shrimp Ramen Noodle Soup,Top Ramen,Yes,Yes,Not found in any source
"Top Ramen 48 pack, chicken flavor ramen noodle soup",Nissin,No,Yes,Not found in any source
Top Ramen chilli,Nissin,No,Yes,Not found in any source
Top Ramen -  Chicken,The Original Nissin,No,Yes,Not found in any source
Nissin Top Ramen Chili flavor,Nissin,No,Yes,Not found in any source
Hot Pot Fusions Korean Spicy Beef Flavor Ramen Noodle Soup,Top Ramen,No,Yes,Not found in any source
Japanese Garlic Tonkotsu Pork,Top Ramen,No,Yes,Not found in any source
Thai Coconut Curry Chicken Flavor Ramen Noodle Soup,Top Ramen,No,Yes,Not found in any source
Beef Flavor Ramen Noodle Soup With Japanese Sauce,Top Ramen,Yes,Yes,Not found in any source
Japanese BBQ Beef Soup,Top Ramen,No,Yes,Not found in any source
Cut Vegetables For Ramen Noodles,Top Valu,No,Yes,Not found in any source
Magic Masala Noodles,Yippee,Yes,Yes,Not found in any source
Yippee Noodles,Sunfeast,No,Yes,Not found in any source
Yippee noodles (snack pack),Sunfeast,Yes,Yes,Not found in any source
Sunfeast Yippee! masala magic,Sunfeast,Yes,Yes,Not found in any source
sunfeast yippee,Sunfeast,No,Yes,Not found in any source
Noodles,Yippee,Yes,Yes,Not found in any source
Atta Noodles,Yippee,Yes,Yes,Not found in any source
Sunfeast Yippee Noodles,ITC,No,Yes,Not found in any source
Sunfeast Yippee noodles,Sunfeast,No,Yes,Not found in any source
Yippee magic masala noodles four in one pack,Sunfeast,No,Yes,Not found in any source
Yippee Noodles Magic Masala,Sunfeast,Yes,Yes,Not found in any source
Yippee noodles magic masala goat,Sunfeast,No,Yes,Not found in any source
Les classiques - Velouté de 9 légumes,Knorr,Yes,Yes,Not found in any source
Knorr Soupe Liquide Douceur à l'Italienne Tomates Mozzarella 1L,Knorr,Yes,Yes,Not found in any source
Knorr Soupe Liquide Douceur de 8 Légumes à la Crème Fraîche 30cl,Knorr,Yes,Yes,Not found in any source
Soupe Douceur 8 Légumes à la Crème Fraîche,Knorr,Yes,Yes,Not found in any source
Velouté Patate Douce & Chèvre et Miel,Knorr,Yes,Yes,Not found in any source
Knorr Soupe Déshydratée Paysanne Légumes & Lard 4 Portions,Knorr,Yes,Yes,Not found in any source
intense rich beef,Knorr,Yes,Yes,Not found in any source
Knorr Soupe Liquide Légumes du Pot-au-Feu 1L,Knorr,Yes,Yes,Not found in any source
Beef stock pot,Knorr,Yes,Yes,Not found in any source
Knorr Soupe Déshydratée Tomates aux Vermicelles 4 Portions,Knorr,Yes,Yes,Not found in any source
Nudle ser w ziołach,Knorr,Yes,Yes,Not found in any source
Crema vichyssoise puerro y patata envase 500 ml,Knorr,No,Yes,Not found in any source
Velouté Potiron & Fourme d'Ambert AOP,Knorr,No,Yes,Not found in any source
Knorr Comme à La Maison Soupe Liquide Courgette Ricotta Parmesan 45cl,Knorr,Yes,Yes,Not found in any source
Cheese Soup,Knorr,No,Yes,Not found in any source
Knorr Soupe Liquide Douceur de Légumes du Soleil 1L,Knorr,Yes,Yes,Not found in any source
Zuppa di fagioli,Knorr,No,Yes,Not found in any source
Suppenliebe Frühlingssuppe mit Gemüse,Knorr,Yes,Yes,Not found in any source
Douceur italienne,Knorr,Yes,Yes,Not found in any source
Oinion soup,Knorr,Yes,Yes,Not found in any source
Quick soup mushroom,Knorr,No,Yes,Not found in any source
Soldatens Ärtsoppa,Knorr,Yes,Yes,Not found in any source
Zupa Borowikowa z grzankami,Knorr,Yes,Yes,Not found in any source
Chilli Chicken Masala Mix,Ching's Secret,Yes,Yes,Not found in any source
Yippee,Sunfeast,Yes,Yes,Not found in any source
Yippee Magic Masala,Sunfeast,No,Yes,Not found in any source
Yippee Creamy Corn Pasta,Sunfeast,No,Yes,Not found in any source
Sunfeast yippee 70g,Sunfeast,No,Yes,Not found in any source
Sunfeast yippee 280g,Sunfeast,Yes,Yes,Not found in any source
yippee!,Sunfeast,No,Yes,Not found in any source
Yippee tricolour pasta,Sunfeast,Yes,Yes,Not found in any source
Tata Tea Premium,Tata Tea,No,Yes,Not found in any source
Red Label Tea Bags,Knightsbridge,Yes,Yes,Not found in any source
Red label,Brooke Bond,No,Yes,Not found in any source
Loose Leaf Black Tea,Red Label,No,Yes,Not found in any source
tea red label,nhte,Yes,Yes,Not found in any source
Loose black tea,Red Label,No,Yes,Not found in any source
Red Label Loose Leaf Black Tea,Brooke Bond,Yes,Yes,Not found in any source
Brooke Blond réd label tea powder,Brooke Bond,No,Yes,Not found in any source
"Brooke Bond, Red Label Tea",Unilever India Exports Limited,Yes,Yes,Not found in any source
Red Label LOOSE BLACK TEA,Brooke Bond,Yes,Yes,Not found in any source
Wagh Bakari,Wagh Bakri,No,Yes,Not found in any source
Instant Masala Tea (Unsweetened),Wagh Bakri,Yes,Yes,Not found in any source
Black Tea,Wagh Bakri,No,Yes,Not found in any source
premium black tea,Wagh Bakri,No,Yes,Not found in any source
Masala Chai Tea Bags,Wagh Bakri,Yes,Yes,Not found in any source
Instant Cardamom Tea,Wagh Bakri,Yes,Yes,Not found in any source
Instant Ginger Tea,Wagh Bakri,No,Yes,Not found in any source
Instant tea combo pack,Wagh Bakri,Yes,Yes,Not found in any source
Instant Sugar-free Elaichi Tea,Wagh Bakri,No,Yes,Not found in any source
Instant Saffron Tea,Wagh Bakri,Yes,Yes,Not found in any source
Lipton Peche ice tea,Lipton,Yes,Yes,Not found in any source
lipton yellow label tea x25,Lipton,Yes,Yes,Not found in any source
Thé vert classique,Lipton,No,Yes,Not found in any source
Thé vert myrtille et mûre x 20 sachets,Lipton,Yes,Yes,Not found in any source
lipton-ice-tea,Lipton,Yes,Yes,Not found in any source
Lipton Ice Tea saveur framboise,Lipton,Yes,Yes,Not found in any source
Green tea,Lipton,Yes,Yes,Not found in any source
Thé vert Menthe,Lipton,Yes,Yes,Not found in any source
Thé glacé pêche pétillant,Lipton,Yes,Yes,Not found in any source
Lipton Ice Tea saveur pêche 25 cl,Lipton,Yes,Yes,Not found in any source
Duo saveur pêche abricot,Lipton,Yes,Yes,Not found in any source
Hibiscus saveur framboise facon infusion glacee,Lipton,Yes,Yes,Not found in any source
LIPTON TEA YELLOW,Lipton,No,Yes,Not found in any source
Lipton Forest fruits,Lipton,Yes,Yes,Not found in any source
Thé  noir earl grey bergamote,Lipton,Yes,Yes,Not found in any source
Green iced tea,Lipton,Yes,Yes,Not found in any source
Ice Tea Pêssego,Lipton,No,Yes,Not found in any source
Nescafe classic,Nescafe,Yes,Yes,Not found in any source
NESCAFE 3 in 1 Classic,Nescafe,Yes,Yes,Not found in any source
Nescafe classic,Nestlé,Yes,Yes,Not found in any source
Nescafe classic natural,Nestlé,No,Yes,Not found in any source
Classic crema,Nestlé,Yes,Yes,Not found in any source
Натуральный растворимый порошкообразный кофе NESCAFÉ® CLASSIC CREMA,Nescafe,Yes,Yes,Not found in any source
NESCAFE CLASSIC 100G TIN EXP 10 / 18 (GR),Nescafe,No,Yes,Not found in any source
Nescafé Classic Classic Mild Instantkaffee,Nescafe,Yes,Yes,Not found in any source
Classic café soluble natural,Nescafe,Yes,Yes,Not found in any source
Nescafe Classic coffee,Nestlé,Yes,Yes,Not found in any source
Nescafe Classic Instant Coffee 100g Glass,Nescafe,Yes,Yes,Not found in any source
Nescafi,Nescafe,No,Yes,Not found in any source
Coffee Classic,Nescafe,No,Yes,Not found in any source
Nescafé Clásico,Nescafe,No,Yes,Not found in any source
Kaffee - Classic Kräftig - löslicher Kaffee,Nescafe,Yes,Yes,Not found in any source
Кофе Crema,Nescafe,No,Yes,Not found in any source
Nescafe classic 200g,Nescafe,No,Yes,Not found in any source
Bru gold,Bru,No,Yes,Not found in any source
Bru Coffee 3rs Sachet,Bru,No,Yes,Not found in any source
BRU GOLD Edition,Fssai,No,Yes,Not found in any source
